date	row_name	items	quantity	product	actual_cost	row_id
2018-12-01	NHS SUNDERLAND	711703	41308111.67	Overall	NA	NA
2018-12-01	NHS SURREY HEARTLANDS	1167478	101293762.55	Overall	NA	NA
2018-12-01	NHS TAMESIDE AND GLOSSOP	390670	29902885.810000002	Overall	NA	NA
2018-12-01	NHS TEES VALLEY	1349203	90944972.10000001	Overall	NA	NA
2018-12-01	NHS THURROCK	255604	15660504.7	Overall	NA	NA
2018-12-01	NHS TRAFFORD	400876	31386647	Overall	NA	NA
2018-12-01	NHS VALE OF YORK	517001	37973439.85	Overall	NA	NA
2018-12-01	NHS WAKEFIELD	618804	49898766.23	Overall	NA	NA
2018-12-01	NHS WARRINGTON	306490	25984861.330000002	Overall	NA	NA
2018-12-01	NHS WEST ESSEX	477441	33486084.520000003	Overall	NA	NA
2018-12-01	NHS WEST LANCASHIRE	172611	14611202.920000002	Overall	NA	NA
2018-12-01	NHS WEST LEICESTERSHIRE	607402	43946051.62	Overall	NA	NA
2018-12-01	NHS WEST SUFFOLK	473032	27752343.58	Overall	NA	NA
2018-12-01	NHS WEST SUSSEX	1240992	102738014.04	Overall	NA	NA
2018-12-01	NHS WIGAN BOROUGH	552577	55023284.769999996	Overall	NA	NA
2018-12-01	NHS WIRRAL	601672	49953985.580000006	Overall	NA	NA
2019-01-01	NHS BARNSLEY	610321	62345260.51	Overall	NA	NA
2019-01-01	NHS BASILDON AND BRENTWOOD	373441	25487859.400000002	Overall	NA	NA
2019-01-01	NHS BASSETLAW	225571	16424458.040000001	Overall	NA	NA
2019-01-01	NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE	1455776	94547890.2	Overall	NA	NA
2019-01-01	NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES	1239158	104755702.98	Overall	NA	NA
2019-01-01	NHS BERKSHIRE WEST	629766	52823125.779999994	Overall	NA	NA
2019-01-01	NHS BIRMINGHAM AND SOLIHULL	1972368	209562489.79999998	Overall	NA	NA
2019-01-01	NHS BLACK COUNTRY AND WEST BIRMINGHAM	2000691	192292110.33999997	Overall	NA	NA
2019-01-01	NHS BLACKBURN WITH DARWEN	291877	20725088.98	Overall	NA	NA
2019-01-01	NHS BLACKPOOL	397360	26144121.479999997	Overall	NA	NA
2019-01-01	NHS BOLTON	512574	45015863.41	Overall	NA	NA
2019-01-01	NHS BRADFORD DISTRICT AND CRAVEN	1016332	85315972.41	Overall	NA	NA
2019-01-01	NHS BRIGHTON AND HOVE	385377	26781093.799999997	Overall	NA	NA
2019-01-01	NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE	1437100	95741654.20999998	Overall	NA	NA
2019-01-01	NHS BUCKINGHAMSHIRE	675073	51139487.02	Overall	NA	NA
2019-01-01	NHS BURY	312040	27556094.61	Overall	NA	NA
2019-01-01	NHS CALDERDALE	393332	31602840.93	Overall	NA	NA
2019-01-01	NHS CAMBRIDGESHIRE AND PETERBOROUGH	1403368	98043798.52000001	Overall	NA	NA
2019-01-01	NHS CANNOCK CHASE	227374	22181070.8	Overall	NA	NA
2019-01-01	NHS CASTLE POINT AND ROCHFORD	263343	16113576.920000002	Overall	NA	NA
2019-01-01	NHS CHESHIRE	1251833	92070457.22999999	Overall	NA	NA
2019-01-01	NHS CHORLEY AND SOUTH RIBBLE	288891	22553866.01	Overall	NA	NA
2019-01-01	NHS COUNTY DURHAM	1313238	73184336.2	Overall	NA	NA
2019-01-01	NHS COVENTRY AND WARWICKSHIRE	1514970	101128841.80999999	Overall	NA	NA
2019-01-01	NHS DERBY AND DERBYSHIRE	1660988	135650806.24	Overall	NA	NA
2019-01-01	NHS DEVON	2117714	262022099.8	Overall	NA	NA
2019-01-01	NHS DONCASTER	639685	46095750.6	Overall	NA	NA
2019-01-01	NHS DORSET	1264204	90964568.5	Overall	NA	NA
2019-01-01	NHS EAST AND NORTH HERTFORDSHIRE	958103	64853676.92	Overall	NA	NA
2019-01-01	NHS EAST LANCASHIRE	673176	44984370.769999996	Overall	NA	NA
2019-01-01	NHS EAST LEICESTERSHIRE AND RUTLAND	520297	37079877.24	Overall	NA	NA
2019-01-01	NHS EAST RIDING OF YORKSHIRE	618255	46713403.989999995	Overall	NA	NA
2019-01-01	NHS EAST STAFFORDSHIRE	227293	17742906.8	Overall	NA	NA
2019-01-01	NHS EAST SUSSEX	948230	70039165	Overall	NA	NA
2019-01-01	NHS FRIMLEY	904834	71817228.07	Overall	NA	NA
2019-01-01	NHS FYLDE AND WYRE	375338	23990278.51	Overall	NA	NA
2019-01-01	NHS GLOUCESTERSHIRE	1043979	54507825.199999996	Overall	NA	NA
2019-01-01	NHS GREATER PRESTON	325598	25096937.340000004	Overall	NA	NA
2019-01-01	NHS HALTON	238461	20893358.360000003	Overall	NA	NA
2019-01-01	NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT	2255998	186914984.67	Overall	NA	NA
2019-01-01	NHS HEREFORDSHIRE AND WORCESTERSHIRE	1227017	81778891.11	Overall	NA	NA
2019-01-01	NHS HERTS VALLEYS	773491	57991363.56	Overall	NA	NA
2019-01-01	NHS HEYWOOD, MIDDLETON AND ROCHDALE	377803	35587361.72	Overall	NA	NA
2019-01-01	NHS HULL	590322	47302656.52	Overall	NA	NA
2019-01-01	NHS IPSWICH AND EAST SUFFOLK	647837	45457740.980000004	Overall	NA	NA
2019-01-01	NHS KENT AND MEDWAY	2816471	215887186.38000003	Overall	NA	NA
2019-01-01	NHS KERNOW	1066167	64141253.95	Overall	NA	NA
2019-01-01	NHS KIRKLEES	744421	60825890.36	Overall	NA	NA
2019-01-01	NHS KNOWSLEY	349529	31162661.450000003	Overall	NA	NA
2019-01-01	NHS LEEDS	1294901	104651506.24	Overall	NA	NA
2019-01-01	NHS LEICESTER CITY	571668	50392918.11	Overall	NA	NA
2019-01-01	NHS LINCOLNSHIRE	1746617	104130823.97999999	Overall	NA	NA
2019-01-01	NHS LIVERPOOL	956585	92007257.14	Overall	NA	NA
2019-01-01	NHS MANCHESTER	966114	89048126.98	Overall	NA	NA
2019-01-01	NHS MID ESSEX	640910	41515487.32	Overall	NA	NA
2019-01-01	NHS MORECAMBE BAY	591757	41594282.13	Overall	NA	NA
2019-01-01	NHS NEWCASTLE GATESHEAD	1084977	78069562.55	Overall	NA	NA
2019-01-01	NHS NORFOLK AND WAVENEY	1949005	137738944.24	Overall	NA	NA
2019-01-01	NHS NORTH CENTRAL LONDON	1719340	160892944.62	Overall	NA	NA
2019-01-01	NHS NORTH CUMBRIA	614669	42697076.82	Overall	NA	NA
2019-01-01	NHS NORTH EAST ESSEX	693558	50170476.029999994	Overall	NA	NA
2019-01-01	NHS NORTH EAST LINCOLNSHIRE	327986	25722459.41	Overall	NA	NA
2019-01-01	NHS NORTH EAST LONDON	2560340	214890211.16	Overall	NA	NA
2019-01-01	NHS NORTH LINCOLNSHIRE	381163	29498476.79	Overall	NA	NA
2019-01-01	NHS NORTH STAFFORDSHIRE	389488	39327208.809999995	Overall	NA	NA
2019-01-01	NHS NORTH TYNESIDE	453408	30868902.31	Overall	NA	NA
2019-01-01	NHS NORTH WEST LONDON	2696315	209064087.29	Overall	NA	NA
2019-01-01	NHS NORTH YORKSHIRE	783230	52511489.239999995	Overall	NA	NA
2019-01-01	NHS NORTHAMPTONSHIRE	1307404	84309564.81	Overall	NA	NA
2019-01-01	NHS NORTHUMBERLAND	691952	46968037.73	Overall	NA	NA
2019-01-01	NHS NOTTINGHAM AND NOTTINGHAMSHIRE	1628040	114109799.69999999	Overall	NA	NA
2019-01-01	NHS OLDHAM	446738	39664704.95	Overall	NA	NA
2019-01-01	NHS OXFORDSHIRE	945612	63718070.29	Overall	NA	NA
2019-01-01	NHS PORTSMOUTH	299105	23605174.93	Overall	NA	NA
2019-01-01	NHS ROTHERHAM	516522	27620710.2	Overall	NA	NA
2019-01-01	NHS SALFORD	509661	38797945.470000006	Overall	NA	NA
2019-01-01	NHS SHEFFIELD	1100162	78563198.31	Overall	NA	NA
2019-01-01	NHS SHROPSHIRE, TELFORD AND WREKIN	730323	59313358.04	Overall	NA	NA
2019-01-01	NHS SOMERSET	896010	59915365.03	Overall	NA	NA
2019-01-01	NHS SOUTH EAST LONDON	1983537	162034797.37	Overall	NA	NA
2019-01-01	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA	352630	28069397.81	Overall	NA	NA
2019-01-01	NHS SOUTH SEFTON	313045	29265841.979999997	Overall	NA	NA
2019-01-01	NHS SOUTH TYNESIDE	342788	25438365.880000003	Overall	NA	NA
2019-01-01	NHS SOUTH WEST LONDON	1853591	138490305.97	Overall	NA	NA
2019-01-01	NHS SOUTHEND	243136	16293924.3	Overall	NA	NA
2019-01-01	NHS SOUTHPORT AND FORMBY	250606	18457847.62	Overall	NA	NA
2019-01-01	NHS ST HELENS	409196	34143033.55	Overall	NA	NA
2019-01-01	NHS STAFFORD AND SURROUNDS	245853	22905665.540000003	Overall	NA	NA
2019-01-01	NHS STOCKPORT	539992	42194477.95	Overall	NA	NA
2019-01-01	NHS STOKE ON TRENT	542900	51491473.1	Overall	NA	NA
2019-01-01	NHS SUNDERLAND	736169	42955521.31	Overall	NA	NA
2019-01-01	NHS SURREY HEARTLANDS	1205603	105813750.49	Overall	NA	NA
2019-01-01	NHS TAMESIDE AND GLOSSOP	403140	31913160.860000003	Overall	NA	NA
2019-01-01	NHS TEES VALLEY	1370747	95101340.95	Overall	NA	NA
2019-01-01	NHS THURROCK	260173	15485177	Overall	NA	NA
2019-01-01	NHS TRAFFORD	413888	32037130.290000003	Overall	NA	NA
2019-01-01	NHS VALE OF YORK	528612	39684471.7	Overall	NA	NA
2019-01-01	NHS WAKEFIELD	643226	53155785.330000006	Overall	NA	NA
2019-01-01	NHS WARRINGTON	313989	26647134.569999997	Overall	NA	NA
2019-01-01	NHS WEST ESSEX	471986	33965181.11	Overall	NA	NA
2019-01-01	NHS WEST LANCASHIRE	179666	15516583.92	Overall	NA	NA
2019-01-01	NHS WEST LEICESTERSHIRE	620840	45040349.82	Overall	NA	NA
2019-01-01	NHS WEST SUFFOLK	481548	28990798.62	Overall	NA	NA
2019-01-01	NHS WEST SUSSEX	1271570	104703762.49000001	Overall	NA	NA
2019-01-01	NHS WIGAN BOROUGH	565951	56871544.650000006	Overall	NA	NA
2019-01-01	NHS WIRRAL	626106	52400582.730000004	Overall	NA	NA
2019-02-01	NHS BARNSLEY	548635	41778602.9	Overall	NA	NA
2019-02-01	NHS BASILDON AND BRENTWOOD	332528	23080566.68	Overall	NA	NA
2019-02-01	NHS BASSETLAW	203548	14525586.5	Overall	NA	NA
2019-02-01	NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE	1325193	85796840.22	Overall	NA	NA
2019-02-01	NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES	1100910	91742798.42999999	Overall	NA	NA
2019-02-01	NHS BERKSHIRE WEST	571414	47602670.089999996	Overall	NA	NA
2019-02-01	NHS BIRMINGHAM AND SOLIHULL	1757947	191557459.82	Overall	NA	NA
2019-02-01	NHS BLACK COUNTRY AND WEST BIRMINGHAM	1791087	174544640.01999998	Overall	NA	NA
2019-02-01	NHS BLACKBURN WITH DARWEN	255435	18123820.5	Overall	NA	NA
2019-02-01	NHS BLACKPOOL	343559	22535624.130000003	Overall	NA	NA
2019-02-01	NHS BOLTON	451727	39480860.02	Overall	NA	NA
2019-02-01	NHS BRADFORD DISTRICT AND CRAVEN	944393	76948352.37	Overall	NA	NA
2019-02-01	NHS BRIGHTON AND HOVE	347815	24864112.94	Overall	NA	NA
2019-02-01	NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE	1261379	85671478.27	Overall	NA	NA
2019-02-01	NHS BUCKINGHAMSHIRE	598282	45314042.510000005	Overall	NA	NA
2019-02-01	NHS BURY	283636	25139929.82	Overall	NA	NA
2019-02-01	NHS CALDERDALE	347471	27981804.23	Overall	NA	NA
2019-02-01	NHS CAMBRIDGESHIRE AND PETERBOROUGH	1293508	90716914.16000001	Overall	NA	NA
2019-02-01	NHS CANNOCK CHASE	200293	19988275.950000003	Overall	NA	NA
2019-02-01	NHS CASTLE POINT AND ROCHFORD	232850	14564451.049999999	Overall	NA	NA
2019-02-01	NHS CHESHIRE	1123184	83207467.92999999	Overall	NA	NA
2019-02-01	NHS CHORLEY AND SOUTH RIBBLE	255524	20223245.71	Overall	NA	NA
2019-02-01	NHS COUNTY DURHAM	1199366	68033160.72	Overall	NA	NA
2019-02-01	NHS COVENTRY AND WARWICKSHIRE	1368200	94952001.35	Overall	NA	NA
2019-02-01	NHS DERBY AND DERBYSHIRE	1489199	121859678.86	Overall	NA	NA
2019-02-01	NHS DEVON	1912995	132132084.33000001	Overall	NA	NA
2019-02-01	NHS DONCASTER	572109	41874902.4	Overall	NA	NA
2019-02-01	NHS DORSET	1121377	80450445.23	Overall	NA	NA
2019-02-01	NHS EAST AND NORTH HERTFORDSHIRE	851421	57245092.519999996	Overall	NA	NA
2019-02-01	NHS EAST LANCASHIRE	615641	40624850.3	Overall	NA	NA
2019-02-01	NHS EAST LEICESTERSHIRE AND RUTLAND	452361	32874146.12	Overall	NA	NA
2019-02-01	NHS EAST RIDING OF YORKSHIRE	566182	42951506.91	Overall	NA	NA
2019-02-01	NHS EAST STAFFORDSHIRE	203632	15733262.91	Overall	NA	NA
2019-02-01	NHS EAST SUSSEX	838751	61552558.24	Overall	NA	NA
2019-02-01	NHS FRIMLEY	827581	65792822.79	Overall	NA	NA
2019-02-01	NHS FYLDE AND WYRE	347526	21947016.240000002	Overall	NA	NA
2019-02-01	NHS GLOUCESTERSHIRE	940295	49088539.230000004	Overall	NA	NA
2019-02-01	NHS GREATER PRESTON	288664	23091867.720000003	Overall	NA	NA
2019-02-01	NHS HALTON	217787	19623843.37	Overall	NA	NA
2019-02-01	NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT	2060270	171078849.36	Overall	NA	NA
2019-02-01	NHS HEREFORDSHIRE AND WORCESTERSHIRE	1098154	74911774.96	Overall	NA	NA
2019-02-01	NHS HERTS VALLEYS	689943	51338533.70999999	Overall	NA	NA
2019-02-01	NHS HEYWOOD, MIDDLETON AND ROCHDALE	340819	33472676.150000002	Overall	NA	NA
2019-02-01	NHS HULL	524820	42057582.629999995	Overall	NA	NA
2019-02-01	NHS IPSWICH AND EAST SUFFOLK	588596	40781395.42999999	Overall	NA	NA
2019-02-01	NHS KENT AND MEDWAY	2527103	194607548.23999998	Overall	NA	NA
2019-02-01	NHS KERNOW	961363	58173996.67	Overall	NA	NA
2019-02-01	NHS KIRKLEES	651781	53692716.25	Overall	NA	NA
2019-02-01	NHS KNOWSLEY	310298	28404014.72	Overall	NA	NA
2019-02-01	NHS LEEDS	1164076	89371683.21000001	Overall	NA	NA
2019-02-01	NHS LEICESTER CITY	513967	45732325.510000005	Overall	NA	NA
2019-02-01	NHS LINCOLNSHIRE	1576632	93912573.59	Overall	NA	NA
2019-02-01	NHS LIVERPOOL	864592	84252676.16	Overall	NA	NA
2019-02-01	NHS MANCHESTER	871478	81369226.29	Overall	NA	NA
2019-02-01	NHS MID ESSEX	578363	36798283.61	Overall	NA	NA
2019-02-01	NHS MORECAMBE BAY	536147	36936408.830000006	Overall	NA	NA
2019-02-01	NHS NEWCASTLE GATESHEAD	955327	67702679.13	Overall	NA	NA
2019-02-01	NHS NORFOLK AND WAVENEY	1791617	124506949.88999999	Overall	NA	NA
2019-02-01	NHS NORTH CENTRAL LONDON	1528397	144171485.43	Overall	NA	NA
2019-02-01	NHS NORTH CUMBRIA	557390	39641035.620000005	Overall	NA	NA
2019-02-01	NHS NORTH EAST ESSEX	621220	45237283.7	Overall	NA	NA
2019-02-01	NHS NORTH EAST LINCOLNSHIRE	293127	22832920.1	Overall	NA	NA
2019-02-01	NHS NORTH EAST LONDON	2300708	192548160.16	Overall	NA	NA
2019-02-01	NHS NORTH LINCOLNSHIRE	351178	26562558.64	Overall	NA	NA
2019-02-01	NHS NORTH STAFFORDSHIRE	354257	34126100.5	Overall	NA	NA
2019-02-01	NHS NORTH TYNESIDE	419022	27803202.49	Overall	NA	NA
2019-02-01	NHS NORTH WEST LONDON	2413405	187480914.71999997	Overall	NA	NA
2019-02-01	NHS NORTH YORKSHIRE	707597	48351609.85999999	Overall	NA	NA
2019-02-01	NHS NORTHAMPTONSHIRE	1166849	76884410.2	Overall	NA	NA
2019-02-01	NHS NORTHUMBERLAND	630335	45072651.76	Overall	NA	NA
2019-02-01	NHS NOTTINGHAM AND NOTTINGHAMSHIRE	1470453	102438417.55000001	Overall	NA	NA
2019-02-01	NHS OLDHAM	400868	36412897.400000006	Overall	NA	NA
2019-02-01	NHS OXFORDSHIRE	850668	56804763.300000004	Overall	NA	NA
2019-02-01	NHS PORTSMOUTH	264311	20973137.57	Overall	NA	NA
2019-02-01	NHS ROTHERHAM	460733	24790978.7	Overall	NA	NA
2019-02-01	NHS SALFORD	465932	34848931.01	Overall	NA	NA
2019-02-01	NHS SHEFFIELD	1004679	72556345.95	Overall	NA	NA
2019-02-01	NHS SHROPSHIRE, TELFORD AND WREKIN	667915	54769053.64999999	Overall	NA	NA
2019-02-01	NHS SOMERSET	799998	54167615.21	Overall	NA	NA
2019-02-01	NHS SOUTH EAST LONDON	1773077	146304014.17000002	Overall	NA	NA
2019-02-01	NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA	318299	27042925.21	Overall	NA	NA
2019-02-01	NHS SOUTH SEFTON	273111	25363196.92	Overall	NA	NA
2019-02-01	NHS SOUTH TYNESIDE	309068	22235541.68	Overall	NA	NA
2019-02-01	NHS SOUTH WEST LONDON	1659512	123919016.86000001	Overall	NA	NA
2019-02-01	NHS SOUTHEND	218831	14263550.73	Overall	NA	NA
2019-02-01	NHS SOUTHPORT AND FORMBY	227168	16717400.96	Overall	NA	NA
2019-02-01	NHS ST HELENS	369347	30455116.03	Overall	NA	NA
2019-02-01	NHS STAFFORD AND SURROUNDS	218634	20566904.4	Overall	NA	NA
2019-02-01	NHS STOCKPORT	483625	38451584.05	Overall	NA	NA
2019-02-01	NHS STOKE ON TRENT	482958	45842409.900000006	Overall	NA	NA
2019-02-01	NHS SUNDERLAND	652402	37393196.53	Overall	NA	NA
2019-02-01	NHS SURREY HEARTLANDS	1077769	93475793.75	Overall	NA	NA
2019-02-01	NHS TAMESIDE AND GLOSSOP	356529	28568910.39	Overall	NA	NA
2019-02-01	NHS TEES VALLEY	1244694	85223957.11	Overall	NA	NA
2019-02-01	NHS THURROCK	234054	14331547.9	Overall	NA	NA
2019-02-01	NHS TRAFFORD	373296	28396541.1	Overall	NA	NA
2019-02-01	NHS VALE OF YORK	470998	35195413.68	Overall	NA	NA
2019-02-01	NHS WAKEFIELD	563405	45634262.85	Overall	NA	NA
2019-02-01	NHS WARRINGTON	287416	24722252.919999998	Overall	NA	NA
2019-02-01	NHS WEST ESSEX	430458	30247550.12	Overall	NA	NA
2019-02-01	NHS WEST LANCASHIRE	162856	14296795.05	Overall	NA	NA
2019-02-01	NHS WEST LEICESTERSHIRE	563363	40967785.52	Overall	NA	NA
2019-02-01	NHS WEST SUFFOLK	437503	25876783.61	Overall	NA	NA
2019-02-01	NHS WEST SUSSEX	1126675	93138216.33	Overall	NA	NA
2019-02-01	NHS WIGAN BOROUGH	511541	53170992.980000004	Overall	NA	NA
2019-02-01	NHS WIRRAL	560260	46906517.3	Overall	NA	NA
2019-03-01	NHS BARNSLEY	583100	40530842.2	Overall	NA	NA
2019-03-01	NHS BASILDON AND BRENTWOOD	362540	25356277.060000002	Overall	NA	NA
2019-03-01	NHS BASSETLAW	216676	15273683.26	Overall	NA	NA
2019-03-01	NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE	1422399	93858019.21000001	Overall	NA	NA
